country;region;year;indicator;value
Argentina;28 main cities;2018;headcount_urban_USD6.85;10,352661
Argentina;28 main cities;2019;headcount_national_USD2.15;0,97568774
Argentina;28 main cities;2019;headcount_national_USD2.15;1,1097424
Argentina;28 main cities;2019;headcount_national_USD3.65;3,2535635
Argentina;28 main cities;2019;headcount_national_USD3.65;3,3780878
Argentina;28 main cities;2019;headcount_national_USD6.85;11,886491
Argentina;28 main cities;2019;headcount_national_USD6.85;12,007797
Argentina;28 main cities;2019;headcount_urban_USD2.15;0,97568774
Argentina;28 main cities;2019;headcount_urban_USD2.15;1,1097424
Argentina;28 main cities;2019;headcount_urban_USD3.65;3,2535635
Argentina;28 main cities;2019;headcount_urban_USD3.65;3,3780878
Argentina;28 main cities;2019;headcount_urban_USD6.85;11,886491
Argentina;28 main cities;2019;headcount_urban_USD6.85;12,007797
Argentina;28 main cities;2020;headcount_national_USD2.15;1,3755922
Argentina;28 main cities;2020;headcount_national_USD2.15;1,1731252
Argentina;28 main cities;2020;headcount_national_USD3.65;3,8738801
Argentina;28 main cities;2020;headcount_national_USD3.65;3,9931074
Argentina;28 main cities;2020;headcount_national_USD6.85;14,626162
Argentina;28 main cities;2020;headcount_national_USD6.85;15,376961
Argentina;28 main cities;2020;headcount_urban_USD2.15;1,3755922
Argentina;28 main cities;2020;headcount_urban_USD2.15;1,1731252
Argentina;28 main cities;2020;headcount_urban_USD3.65;3,8738801
Argentina;28 main cities;2020;headcount_urban_USD3.65;3,9931074
Argentina;28 main cities;2020;headcount_urban_USD6.85;14,626162
Argentina;28 main cities;2020;headcount_urban_USD6.85;15,376961
Argentina;28 main cities;2021;headcount_national_USD2.15;0,85201557
Argentina;28 main cities;2021;headcount_national_USD2.15;0,89421792
Argentina;28 main cities;2021;headcount_national_USD3.65;3,3193983
Argentina;28 main cities;2021;headcount_national_USD3.65;2,8043986
Argentina;28 main cities;2021;headcount_national_USD6.85;12,378771
Argentina;28 main cities;2021;headcount_national_USD6.85;11,432521
Argentina;28 main cities;2021;headcount_urban_USD2.15;0,85201557
Argentina;28 main cities;2021;headcount_urban_USD2.15;0,89421792
Argentina;28 main cities;2021;headcount_urban_USD3.65;3,3193983
Argentina;28 main cities;2021;headcount_urban_USD3.65;2,8043986
Argentina;28 main cities;2021;headcount_urban_USD6.85;12,378771
Argentina;28 main cities;2021;headcount_urban_USD6.85;11,432521
Argentina;28 main cities;2022;headcount_national_USD2.15;0,59609979
Argentina;28 main cities;2022;headcount_national_USD2.15;0,61188984
Argentina;28 main cities;2022;headcount_national_USD3.65;2,3361716
Argentina;28 main cities;2022;headcount_national_USD3.65;2,5446945
Argentina;28 main cities;2022;headcount_national_USD6.85;11,320505
Argentina;28 main cities;2022;headcount_national_USD6.85;10,907662
Argentina;28 main cities;2022;headcount_urban_USD2.15;0,59609979
Argentina;28 main cities;2022;headcount_urban_USD2.15;0,61188984
Argentina;28 main cities;2022;headcount_urban_USD3.65;2,3361716
Argentina;28 main cities;2022;headcount_urban_USD3.65;2,5446945
Argentina;28 main cities;2022;headcount_urban_USD6.85;11,320505
Argentina;28 main cities;2022;headcount_urban_USD6.85;10,907662
Argentina;EPHC;2003;a1;0,38357487
Argentina;EPHC;2003;a2;0,64275164
Argentina;EPHC;2003;cv;2,3949863
Argentina;EPHC;2003;e0;0,48380597
Argentina;EPHC;2003;gini;0,50821563
Argentina;EPHC;2003;gini_pci_urban;0,50821563
Argentina;EPHC;2003;nbi1_headcount_urban;36,598381
Argentina;EPHC;2003;theil;0,52257725
Argentina;EPHC;2003;wolfson;0,5114682
Argentina;EPHC;2004;a1;0,36583472
Argentina;EPHC;2004;a1;0,35207903
Argentina;EPHC;2004;a2;0,62579849
Argentina;EPHC;2004;a2;0,60095632
Argentina;EPHC;2004;cv;1,514529
Argentina;EPHC;2004;cv;1,180138
Argentina;EPHC;2004;e0;0,45543365
Argentina;EPHC;2004;e0;0,43397517
Argentina;EPHC;2004;gini;0,49461997
Argentina;EPHC;2004;gini;0,48360574
Argentina;EPHC;2004;gini_pci_urban;0,49461997
Argentina;EPHC;2004;gini_pci_urban;0,48360574
Argentina;EPHC;2004;nbi1_headcount_urban;35,823417
Argentina;EPHC;2004;nbi1_headcount_urban;34,009974
Argentina;EPHC;2004;theil;0,45871124
Argentina;EPHC;2004;theil;0,42217965
Argentina;EPHC;2004;wolfson;0,49647511
Argentina;EPHC;2004;wolfson;0,47625128
Argentina;EPHC;2005;a1;0,34367637
Argentina;EPHC;2005;a1;0,34228903
Argentina;EPHC;2005;a2;0,58565206
Argentina;EPHC;2005;a2;0,58315648
Argentina;EPHC;2005;cv;1,1314237
Argentina;EPHC;2005;cv;1,2337941
Argentina;EPHC;2005;e0;0,42109094
Argentina;EPHC;2005;e0;0,41897963
Argentina;EPHC;2005;gini;0,47865377
Argentina;EPHC;2005;gini;0,47693157
Argentina;EPHC;2005;gini_pci_urban;0,47865377
Argentina;EPHC;2005;gini_pci_urban;0,47693157
Argentina;EPHC;2005;nbi1_headcount_urban;34,217025
Argentina;EPHC;2005;nbi1_headcount_urban;33,035029
Argentina;EPHC;2005;theil;0,41200022
Argentina;EPHC;2005;theil;0,41754838
